"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"    43 Ariadne (A857 GA)",2.203,0.1688,3.47,264.77,16.31,1.831,2.57,3.27,57498,0,3153,,,8.05,71.340,,0.234,5.76218,,0.863,0.490,,Sk,S
"    44 Nysa (A857 KA)",2.423,0.1489,3.71,131.50,344.19,2.062,2.78,3.77,57665,0,2961,,,6.95,70.64,,0.482,6.422,,0.703,0.245,,Xc,E
"    45 Eugenia (A857 MA)",2.721,0.0836,6.61,147.59,87.66,2.493,2.95,4.49,56838,0,4128,,,7.61,202.327,,0.045,5.699,,0.676,0.274,,C,FC
"    46 Hestia (A857 QA)",2.525,0.1728,2.35,181.07,177.35,2.089,2.96,4.01,57554,0,4422,,,8.54,131.471,,0.046,21.04,,0.692,0.226,,Xc,P
"    47 Aglaja (A857 RA)",2.882,0.1301,4.98,3.05,315.06,2.507,3.26,4.89,59149,0,3903,,,8.16,168.174,,0.082,13.178,,0.665,0.300,,B,C
"    48 Doris (A857 SA)",3.115,0.0706,6.55,183.48,251.98,2.895,3.34,5.5,59077,0,3733,,,7.16,216.473,,0.065,11.89,,0.716,0.442,,Ch,CG
"    49 Pales (A857 SB)",3.098,0.2215,3.20,285.06,113.11,2.412,3.78,5.45,57761,0,3578,,,7.86,166.252,,0.048,20.705,,0.749,0.411,,Ch,CG
"    50 Virginia (A857 TA)",2.65,0.2852,2.84,173.47,199.90,1.894,3.41,4.31,59981,0,3887,,,9.34,84.074,,0.050,14.315,,0.703,0.347,,Ch,X
"    51 Nemausa (A858 BA)",2.366,0.0676,9.98,175.95,1.91,2.206,2.53,3.64,57828,0,5851,,,7.59,138.159,,0.100,7.783,,0.789,0.482,,Ch,CU
"    52 Europa (A858 CA)",3.095,0.1108,7.48,128.60,343.14,2.752,3.44,5.45,58989,0,3475,,,6.49,303.918,,0.057,5.6304,,0.679,0.338,,C,CF
"    54 Alexandra (A858 RA)",2.712,0.1970,11.80,313.24,345.18,2.178,3.25,4.47,9364,0,3107,,,7.83,160.120,,0.059,7.024,,0.727,0.357,,C,C
"    55 Pandora (A858 RB)",2.759,0.1438,7.18,10.36,5.42,2.362,3.16,4.58,52955,0,3252,,,7.86,84.794,,0.204,4.804,,0.704,0.242,,X,M
"    56 Melete (A857 RB)",2.596,0.2380,8.08,192.95,104.93,1.978,3.21,4.18,57189,0,3396,,,8.51,121.333,,0.057,18.147,,0.697,0.312,,Xk,P
"    57 Mnemosyne (A859 SA)",3.157,0.1099,15.23,198.90,210.36,2.810,3.50,5.61,59184,0,3423,,,7.00,112.59,,0.2149,25.324,,0.817,0.410,,S,S
"    58 Concordia (A860 FA)",2.702,0.0436,5.07,161.06,33.45,2.584,2.82,4.44,57656,0,4433,,,9.04,106.517,,0.044,9.895,,0.690,0.370,,Ch,C
"    59 Elpis (A860 RA)",2.713,0.1173,8.65,169.93,210.67,2.395,3.03,4.47,57007,0,3171,,,8.04,165.119,,0.044,13.671,,0.662,0.285,,B,CP
"    60 Echo (A860 RB)",2.392,0.1850,3.60,191.54,271.10,1.949,2.83,3.7,58647,0,3728,,,8.53,43.218,,0.373,25.208,,0.854,0.452,,S,S
"    61 Danae (A860 RC)",2.984,0.1648,18.21,333.57,12.66,2.493,3.48,5.16,57115,0,3860,,,7.66,85.937,,0.203,11.45,,0.852,0.402,,S,S
"    62 Erato (A860 RD)",3.13,0.1679,2.24,125.12,277.36,2.604,3.66,5.54,42356,0,4025,,,8.80,106.921,,0.048,9.2213,,0.708,0.378,,Ch,BU
"    63 Ausonia (A861 CA)",2.396,0.1274,5.78,337.72,296.22,2.091,2.70,3.71,58712,0,2969,,,7.46,116.044,,0.125,9.298,,0.916,0.500,,Sa,S
"    64 Angelina (A861 EA)",2.681,0.1256,1.31,309.02,180.67,2.345,3.02,4.39,58748,0,3284,,,7.68,58.292,,0.483,8.752,,0.734,0.254,,Xe,E
"    65 Cybele (A861 EB)",3.433,0.1141,3.57,155.59,103.43,3.042,3.82,6.36,58719,0,4237,,,6.90,237.26,,0.0706,6.0814,,0.690,0.271,,Xc,P
"    66 Maja (A861 GA)",2.645,0.1733,3.05,7.49,43.75,2.187,3.10,4.3,58633,0,3723,,,9.54,71.82,,0.016,9.73509,,0.697,0.360,,Ch,C
"    67 Asia (A861 HA)",2.422,0.1848,6.03,202.40,107.02,1.975,2.87,3.77,57658,0,3578,,,8.35,56.309,,0.228,15.853,,0.861,0.434,,S,S
"    69 Hesperia (A861 HC)",2.975,0.1702,8.59,184.99,288.91,2.469,3.48,5.13,58586,0,3647,,,7.20,138.13,,0.1402,5.655,,0.674,0.230,,X,M
"    70 Panopaea (A861 JA)",2.615,0.1806,11.59,47.67,255.66,2.143,3.09,4.23,56723,0,3868,,,8.16,127.911,,0.038,15.8052,,0.740,0.390,,Ch,C
"    71 Niobe (A861 PA)",2.757,0.1749,23.25,315.99,267.19,2.275,3.24,4.58,57700,0,2866,,,7.15,83.42,,0.3052,35.864,,0.803,0.439,,Xe,S
"    74 Galatea (A862 QA)",2.782,0.2361,4.07,197.12,174.66,2.125,3.44,4.64,57690,0,3748,,,8.76,118.71,,0.0431,17.268,,0.686,0.320,,C,C
"    75 Eurydike (A862 SA)",2.675,0.3036,4.99,359.32,339.44,1.863,3.49,4.37,57687,0,4258,,,9.08,62.377,,0.117,5.357,,0.710,0.266,,Xk,M
"    76 Freia (A862 UA)",3.414,0.1663,2.12,204.27,252.14,2.846,3.98,6.31,57643,0,4224,,,8.02,145.423,,0.058,9.973,,0.704,0.298,,X,P
"    77 Frigga (A862 VA)",2.668,0.1330,2.42,1.14,61.67,2.313,3.02,4.36,52038,0,3632,,,8.67,61.390,,0.177,9.0032,,0.746,0.249,,Xe,MU
"    78 Diana (A863 EA)",2.622,0.2058,8.70,333.39,152.85,2.082,3.16,4.24,57926,0,3177,,,8.39,120.60,,0.0706,7.2991,,0.713,0.380,,Ch,C
"    79 Eurynome (A863 RA)",2.445,0.1903,4.61,206.52,201.54,1.980,2.91,3.82,57829,0,3172,,,7.98,63.479,,0.287,5.978,,0.874,0.421,,S,S
"    80 Sappho (A864 JA)",2.296,0.2002,8.68,218.65,139.49,1.836,2.76,3.48,57067,0,3008,,,8.09,68.563,,0.206,14.03,,0.901,0.523,,S,S
"    81 Terpsichore (A864 SA)",2.852,0.2114,7.81,0.95,51.53,2.249,3.45,4.82,57270,0,4203,,,8.65,117.727,,0.045,10.943,,0.701,0.346,,Cb,C
"    82 Alkmene (A864 WA)",2.764,0.2205,2.83,25.44,111.05,2.155,3.37,4.6,57378,0,3619,,,8.27,57.621,,0.167,12.999,,0.814,0.380,,Sq,S
"    83 Beatrix (A865 HA)",2.434,0.0812,4.96,27.69,169.32,2.236,2.63,3.8,57196,0,3101,,,8.77,110.503,,0.050,10.111,,0.704,0.266,,X,X
"    84 Klio (A865 QA)",2.362,0.2364,9.32,327.51,15.04,1.804,2.92,3.63,57111,0,3304,,,9.38,79.16,,0.0527,23.562,,0.733,0.445,,Ch,G
"    85 Io (A865 SA)",2.652,0.1942,11.96,203.06,122.82,2.137,3.17,4.32,57088,0,3211,,,7.77,154.79,,0.0666,6.875,,0.668,0.294,,B,FC
"    87 Sylvia (A866 KA)",3.48,0.0940,10.88,73.01,263.93,3.153,3.81,6.49,49944,0,4449,,,6.92,253.051,,0.046,5.184,,0.710,0.251,,X,P
"    88 Thisbe (A866 LA)",2.769,0.1618,5.21,276.44,36.53,2.321,3.22,4.61,56837,0,3957,,,7.27,232,,0.0671,6.042,,0.681,0.305,,B,CF
"    89 Julia (A866 PA)",2.55,0.1847,16.13,311.55,45.04,2.079,3.02,4.07,56767,0,2618,,,6.79,145.483,,0.189,11.387,,0.859,0.442,,K,S
"    90 Antiope (A866 TA)",3.147,0.1668,2.21,69.95,245.17,2.622,3.67,5.58,56602,0,5004,,,8.22,115.974,,0.058,16.509,,0.688,0.317,,C,C
"    91 Aegina (A866 VA)",2.59,0.1069,2.10,10.44,74.39,2.313,2.87,4.17,56674,0,3517,,,8.91,103.402,,0.048,6.025,,0.724,0.317,,Ch,CP
"    92 Undina (A867 NA)",3.191,0.1060,9.92,101.55,238.23,2.853,3.53,5.7,55070,0,2747,,,6.77,126.42,,0.2509,15.941,,0.725,0.275,,Xc,X
"    93 Minerva (A867 QA)",2.755,0.1389,8.56,4.02,275.17,2.372,3.14,4.57,55330,0,3154,,,7.92,154.155,,0.056,5.982,,0.685,0.315,,C,CU
"    94 Aurora (A867 RA)",3.158,0.0947,7.97,2.55,60.22,2.858,3.46,5.61,54610,0,4520,,,7.67,204.89,,0.0395,7.22,,0.663,0.301,,C,CP
"    95 Arethusa (A867 WA)",3.063,0.1532,13.00,243.01,153.66,2.594,3.53,5.36,54432,0,3365,,,8.05,147.969,,0.058,8.705,,0.711,0.374,,Ch,C
"    96 Aegle (A868 DA)",3.049,0.1414,15.98,321.49,208.23,2.618,3.48,5.32,56208,0,3447,,,7.75,177.774,,0.048,13.868,,0.775,0.337,,T,T
"    98 Ianthe (A868 HA)",2.688,0.1875,15.58,353.90,158.49,2.184,3.19,4.41,55237,0,3353,,,8.90,132.788,,0.029,16.479,,0.749,0.375,,Ch,CG
"    99 Dike (A868 KA)",2.665,0.1961,13.85,41.42,195.74,2.143,3.19,4.35,39071,0,3432,,,9.56,67.354,,0.065,18.127,,0.703,0.322,,Xk,C
"   100 Hekate (A868 NA)",3.087,0.1691,6.43,127.17,183.81,2.565,3.61,5.42,55148,0,3261,,,7.66,85.734,,0.205,27.066,,0.838,0.363,,S,S
"   101 Helena (A868 PA)",2.584,0.1412,10.20,343.38,348.31,2.219,2.95,4.15,55026,0,2659,,,8.23,65.84,,0.1898,23.08,,0.854,0.426,,S,S
"   102 Miriam (A868 QA)",2.663,0.2511,5.17,210.78,147.16,1.994,3.33,4.35,55500,0,3671,,,9.38,82.595,,0.051,23.613,,0.726,0.371,,C,P
"   103 Hera (A868 RA)",2.703,0.0792,5.42,136.08,189.04,2.489,2.92,4.44,55067,0,3024,,,7.62,83.908,,0.217,23.74,,0.853,0.441,,S,S
"   104 Klymene (A868 RB)",3.147,0.1613,2.79,41.66,31.70,2.639,3.65,5.58,49788,0,3488,,,8.42,136.553,,0.052,8.984,,0.688,0.340,,Ch,C
"   105 Artemis (A868 SA)",2.374,0.1776,21.45,188.22,57.27,1.953,2.80,3.66,42911,0,3207,2,0,8.79,94.864,,0.032,37.15,,0.693,0.317,,Ch,C
"   106 Dione (A868 TA)",3.18,0.1593,4.58,62.00,331.31,2.673,3.69,5.67,55111,0,3329,,,7.62,207.869,,0.044,16.21,,0.743,0.464,,Cgh,G
"   107 Camilla (A868 WA)",3.488,0.0650,10.00,172.59,305.68,3.261,3.71,6.51,55806,0,4065,,,7.15,210.370,,0.059,4.844,0.7475,0.705,0.298,,X,C
"   108 Hecuba (A869 GB)",3.248,0.0574,4.22,349.89,210.23,3.061,3.43,5.85,51824,0,3710,,,8.05,75.498,,0.148,14.256,,0.855,0.502,,Sl,S
"   109 Felicitas (A869 TA)",2.695,0.2995,7.85,2.76,57.59,1.888,3.50,4.42,9379,0,2636,,,9.06,82.588,,0.036,13.191,,0.696,0.408,,Ch,GC
"   110 Lydia (A870 HA)",2.732,0.0802,5.96,56.78,282.00,2.512,2.95,4.51,9926,0,2831,,,7.87,86.09,,0.1808,10.927,,0.705,0.298,,X,M
"   111 Ate (A870 PA)",2.593,0.1025,4.93,305.69,168.17,2.327,2.86,4.18,55298,0,3372,,,8.20,126.344,,0.062,22.072,,0.690,0.389,,Ch,C
"   112 Iphigenia (A870 SA)",2.433,0.1284,2.60,323.41,17.33,2.121,2.75,3.8,55194,0,4122,,,9.79,69.818,,0.042,31.466,,0.696,0.284,,Ch,DCX
"   113 Amalthea (A871 EA)",2.376,0.0862,5.04,123.44,78.63,2.171,2.58,3.66,54930,0,3674,,,8.51,50.137,,0.224,9.95,,0.925,0.521,,S,S
"   114 Kassandra (A871 OA)",2.676,0.1380,4.94,164.07,352.75,2.306,3.04,4.38,43594,0,3549,,,8.32,94.178,,0.089,10.7431,,0.768,0.269,,Xk,T
"   115 Thyra (A871 PA)",2.38,0.1932,11.59,308.80,96.87,1.920,2.84,3.67,54375,0,2655,,,7.67,79.83,,0.2747,7.241,,0.851,0.431,,S,S
"   116 Sirona (A871 RA)",2.766,0.1415,3.56,63.70,94.27,2.375,3.16,4.6,54313,0,3259,,,7.87,71.70,,0.2560,12.028,,0.873,0.429,,Sk,S
"   117 Lomia (A871 RB)",2.991,0.0241,14.93,348.63,50.93,2.919,3.06,5.17,53108,0,3145,,,8.10,208.974,,0.027,9.127,,0.687,0.306,,X,XC
"   118 Peitho (A872 EA)",2.436,0.1646,7.75,47.67,33.18,2.035,2.84,3.8,54619,0,3598,,,8.93,40.211,,0.245,7.8055,,0.859,0.433,,S,S
"   119 Althaea (A872 GA)",2.581,0.0813,5.79,203.63,171.45,2.371,2.79,4.15,54532,0,3530,,,8.35,57.30,,0.2306,11.484,,0.874,0.342,,Sl,S
"   120 Lachesis (A872 GB)",3.117,0.0515,6.96,341.16,234.25,2.956,3.28,5.5,54584,0,3023,,,7.79,155.132,,0.058,46.551,,0.707,0.383,,C,C
"   121 Hermione (A872 JA)",3.454,0.1263,7.57,72.88,296.80,3.018,3.89,6.42,54639,0,4215,,,7.36,209.00,,0.0482,5.55128,,0.739,0.425,,Ch,C
"   122 Gerda (A872 OA)",3.223,0.0307,1.64,178.12,321.05,3.124,3.32,5.79,54500,0,3640,,,7.71,70.676,,0.297,10.685,,0.776,0.410,,L,ST
"   123 Brunhild (A872 OB)",2.694,0.1209,6.41,307.72,125.45,2.368,3.02,4.42,54466,0,3551,,,8.92,45.209,,0.261,9.873,,0.850,0.395,,S,S
"   124 Alkeste (A872 QA)",2.632,0.0766,2.96,187.91,62.61,2.431,2.83,4.27,54531,0,3911,,,8.10,88.648,,0.128,9.906,,0.844,0.424,,S,S
"   125 Liberatrix (A872 RA)",2.744,0.0783,4.67,168.98,110.34,2.529,2.96,4.54,54434,0,5028,,,8.85,48.418,,0.182,3.968,,0.705,0.239,,X,M
"   127 Johanna (A872 VB)",2.754,0.0666,8.25,31.14,93.12,2.571,2.94,4.57,46874,0,3442,,,8.61,122,,0.042,12.7988,,,,,Ch,CX
"   128 Nemesis (A872 WA)",2.749,0.1281,6.25,76.23,303.46,2.397,3.10,4.56,54370,0,3142,,,7.71,162.515,,0.067,77.81,,0.685,0.392,,C,C
"   129 Antigone (A873 CA)",2.867,0.2130,12.27,135.66,110.83,2.256,3.48,4.85,52993,0,3396,,,7.07,113,,0.151,4.9572,,0.717,0.245,,X,M
"   130 Elektra (A873 DA)",3.127,0.2093,22.78,145.01,237.62,2.472,3.78,5.53,46789,0,3544,,,7.21,180.652,,0.086,5.225,,0.753,0.483,,Ch,G
"   131 Vala (A873 KA)",2.433,0.0675,4.96,65.63,161.23,2.269,2.60,3.79,54215,0,4067,,,9.96,31.337,,0.246,5.1812,,0.829,0.402,,Xc,SU
"   133 Cyrene (A873 QA)",3.064,0.1348,7.21,319.00,290.25,2.651,3.48,5.36,54216,0,3850,,,7.91,72.175,,0.279,12.708,,0.907,0.510,,S,SR
"   134 Sophrosyne (A873 SA)",2.563,0.1146,11.61,345.86,85.34,2.269,2.86,4.1,52717,0,2919,,,8.85,108,,0.0364,17.196,,0.690,0.322,,Ch,C
"   135 Hertha (A874 DA)",2.429,0.2069,2.30,343.57,340.31,1.926,2.93,3.78,53511,0,3339,,,8.18,79.24,,0.1436,8.403,,0.698,0.269,,Xk,M
"   136 Austria (A874 FA)",2.287,0.0847,9.58,186.41,132.55,2.093,2.48,3.46,52954,0,3587,,,9.74,36.893,,0.201,11.4969,,0.752,0.247,,Xe,M
"   139 Juewa (A874 TA)",2.783,0.1739,10.91,1.80,165.82,2.299,3.27,4.64,51356,0,2897,,,8.03,151.116,,0.052,20.991,,0.693,0.287,,X,CP
"   140 Siwa (A874 TB)",2.734,0.2141,3.19,107.17,196.95,2.149,3.32,4.52,52921,0,4326,,,8.45,109.79,,0.0676,34.445,,0.721,0.299,,Xc,P
"   141 Lumen (A875 AA)",2.665,0.2136,11.90,318.47,57.64,2.096,3.23,4.35,52739,0,2456,,,8.49,117.916,,0.067,19.87,,,,,Ch,CPF
"   142 Polana (A875 BA)",2.419,0.1346,2.24,291.22,291.72,2.093,2.74,3.76,51653,0,4197,,,10.30,54.812,,0.047,9.764,,0.621,0.236,,B,F
"   143 Adria (A875 DA)",2.762,0.0736,11.44,332.97,252.15,2.559,2.97,4.59,51772,0,3740,,,9.17,95.377,,0.044,22.005,,0.738,0.336,,Xc,C
"   144 Vibilia (A875 LA)",2.654,0.2354,4.81,76.18,294.65,2.029,3.28,4.32,53561,0,3316,,,8.12,142.38,,0.0597,13.819,,0.727,0.402,,Ch,C
"   145 Adeona (A875 LB)",2.671,0.1464,12.62,77.34,45.25,2.280,3.06,4.37,53546,0,3084,,,8.24,127.783,,0.061,15.071,,0.701,0.352,,Ch,C
"   146 Lucina (A875 LC)",2.719,0.0665,13.10,83.94,145.54,2.538,2.90,4.48,49771,0,3355,,,8.38,160.310,,0.036,18.557,,0.703,0.405,,Ch,C
"   147 Protogeneia (A875 NA)",3.135,0.0231,1.93,248.25,101.77,3.063,3.21,5.55,53433,0,4033,,,8.78,132.93,,0.0492,7.8528,,0.678,0.293,,C,C
"   148 Gallia (A875 PA)",2.77,0.1879,25.29,145.00,252.66,2.250,3.29,4.61,51966,0,3921,,,7.65,97.75,,0.1640,20.664,,0.858,0.423,,S,GU
"   150 Nuwa (A875 UA)",2.985,0.1236,2.20,206.11,153.75,2.616,3.35,5.16,51618,0,3827,,,8.49,119.128,,0.052,8.1347,,0.706,0.275,,Cb,CX
"   151 Abundantia (A875 VA)",2.591,0.0353,6.43,38.74,133.36,2.500,2.68,4.17,50023,0,3366,,,9.21,39.037,,0.233,9.864,,0.867,0.496,,Sl,S
"   152 Atala (A875 VB)",3.14,0.0815,12.12,39.88,59.00,2.884,3.40,5.56,51623,0,3225,,,8.32,58.964,,0.257,6.246,,0.882,0.452,,S,I
"   153 Hilda (A875 VC)",3.977,0.1400,7.83,228.09,39.33,3.420,4.53,7.93,51738,0,3617,,,7.60,170.63,,0.0618,5.9585,,0.669,0.243,,X,P
"   154 Bertha (A875 VD)",3.198,0.0765,20.97,36.68,161.39,2.954,3.44,5.72,51557,0,2885,,,7.71,192.611,,0.044,25.224,,,,,C,
"   156 Xanthippe (A875 WA)",2.728,0.2264,9.78,241.81,338.28,2.111,3.35,4.51,43939,0,3893,,,8.71,143.346,,0.030,22.132,,0.713,0.315,,Ch,C
"   158 Koronis (A876 AA)",2.869,0.0526,1.01,277.71,146.61,2.718,3.02,4.86,46902,0,3760,,,9.22,39.025,,0.213,14.218,,0.859,0.394,,S,S
"   159 Aemilia (A876 BA)",3.108,0.1045,6.13,134.11,333.15,2.783,3.43,5.48,43057,0,3929,,,8.35,125.236,,0.064,24.476,,0.700,0.380,,Ch,C
"   160 Una (A876 DA)",2.726,0.0673,3.82,8.59,51.75,2.543,2.91,4.5,53201,0,3737,,,9.14,81.24,,0.0625,11.033,,0.718,0.363,,C,CX
"   161 Athor (A876 HA)",2.38,0.1371,9.06,18.55,294.79,2.054,2.71,3.67,53222,0,3189,,,9.14,40.992,,0.230,7.28,,0.719,0.208,,Xc,M
"   162 Laurentia (A876 HB)",3.016,0.1819,6.09,35.45,115.78,2.467,3.56,5.24,53222,0,3714,,,8.94,97.021,,0.051,11.8686,,0.747,0.374,,Ch,STU
"   163 Erigone (A876 HC)",2.366,0.1922,4.82,160.04,298.65,1.912,2.82,3.64,47256,0,3608,,,9.75,81.579,,0.033,16.136,,0.717,0.341,,Ch,C
"   164 Eva (A876 NA)",2.631,0.3473,24.48,76.81,284.04,1.717,3.54,4.27,46328,0,3364,,,8.83,100.254,,0.029,13.66,,0.684,0.326,,X,CX
"   165 Loreley (A876 PA)",3.123,0.0845,11.24,302.45,345.04,2.860,3.39,5.52,53113,0,4307,,,7.88,180.083,,0.047,7.226,,0.722,0.291,,Cb,CD
"   166 Rhodope (A876 PB)",2.687,0.2115,12.03,128.91,263.98,2.119,3.26,4.4,53082,0,3607,,,9.92,52.393,,0.046,4.715,,0.725,0.425,,Xe,GC:
"   167 Urda (A876 QA)",2.852,0.0378,2.22,166.10,128.67,2.744,2.96,4.82,50326,0,3702,,,9.23,39.935,,0.223,13.07,,0.837,0.400,,Sk,S
"   168 Sibylla (A876 SA)",3.376,0.0745,4.67,205.93,175.74,3.124,3.63,6.2,53049,0,3851,,,8.09,145.366,,0.056,47.009,,0.745,0.384,,Ch,C
"   169 Zelia (A876 SB)",2.358,0.1309,5.50,354.73,334.68,2.049,2.67,3.62,53053,0,3534,,,9.54,37.517,,0.188,14.537,,0.848,0.458,,Sl,S
"   170 Maria (A877 AA)",2.554,0.0629,14.38,301.30,157.94,2.394,2.71,4.08,52868,0,2910,,,9.33,33.136,,0.282,13.12,,0.886,0.447,,S,S
"   171 Ophelia (A877 AB)",3.132,0.1321,2.55,100.48,55.72,2.718,3.55,5.54,13296,0,3492,,,8.60,130.808,,0.076,6.66535,,0.695,0.341,,C,C
"   172 Baucis (A877 CA)",2.38,0.1149,10.02,331.92,359.66,2.107,2.65,3.67,50845,0,2784,,,8.76,62.43,,0.1382,27.417,,0.890,0.499,,L,S
"   173 Ino (A877 PA)",2.741,0.2096,14.20,148.17,228.84,2.167,3.32,4.54,52106,0,3640,,,7.94,125.821,,0.096,6.15,,0.705,0.305,,Xk,C
"   174 Phaedra (A877 RA)",2.861,0.1410,12.12,327.66,289.71,2.457,3.26,4.84,52582,0,3310,,,8.34,64.849,,0.169,5.744,,0.858,0.484,,S,S
"   175 Andromache (A877 TA)",3.185,0.2330,3.22,21.27,319.79,2.443,3.93,5.68,52692,0,3945,,,8.52,94.532,,0.094,8.324,,0.706,0.332,,Cg,C
"   176 Iduna (A877 TB)",3.182,0.1714,22.68,200.47,188.60,2.637,3.73,5.68,52705,0,3779,,,8.29,106.976,,0.065,11.2877,,,,,Ch,G
"   177 Irma (A877 VA)",2.772,0.2340,1.38,346.98,39.44,2.124,3.42,4.62,44275,0,3649,,,9.68,69.049,,0.022,13.856,,0.730,0.350,,Ch,C:
"   178 Belisana (A877 VB)",2.461,0.0424,1.89,51.09,211.55,2.357,2.57,3.86,49704,0,3671,,,9.39,35.81,,0.2438,12.323,,0.904,0.486,,S,S
"   179 Klytaemnestra (A877 VC)",2.973,0.1101,7.82,251.86,104.03,2.646,3.30,5.13,51768,0,3264,,,8.14,69.946,,0.198,11.173,,0.832,0.408,,Sk,S
"   180 Garumna (A878 BA)",2.722,0.1677,0.87,311.87,176.04,2.266,3.18,4.49,37521,0,3640,,,10.19,23.440,,0.242,23.866,,0.829,0.451,,Sq,S
"   181 Eucharis (A878 CB)",3.127,0.2073,18.89,143.02,318.88,2.478,3.77,5.53,51712,0,3499,,,7.92,115.383,,0.101,52.23,,0.815,0.379,,Xk,S
"   182 Elsa (A878 CC)",2.415,0.1869,2.01,107.18,310.76,1.964,2.87,3.75,42970,0,3366,,,9.16,39.520,,0.196,80.088,,0.862,0.425,,S,S
"   183 Istria (A878 CD)",2.794,0.3483,26.40,141.88,263.95,1.821,3.77,4.67,42326,0,3603,,,9.57,32.927,,0.227,11.77,,0.842,0.359,,S,S
"   184 Dejopeja (A878 DA)",3.187,0.0654,1.14,331.57,210.73,2.978,3.40,5.69,47138,0,3677,,,8.46,62.483,,0.215,6.4416,,0.699,0.227,,X,X
"   185 Eunike (A878 EA)",2.738,0.1274,23.26,153.76,223.58,2.389,3.09,4.53,51619,0,3787,,,7.70,160.464,,0.062,21.797,,0.668,0.331,,C,C
"   186 Celuta (A878 GA)",2.362,0.1499,13.19,14.72,315.42,2.008,2.72,3.63,50439,0,3021,,,9.05,49.99,,0.1929,19.842,,0.859,0.397,,K,S
"   187 Lamberta (A878 GB)",2.729,0.2408,10.58,21.68,196.75,2.072,3.39,4.51,51542,0,3741,,,8.27,147.294,,0.044,10.67,,0.709,0.348,,Ch,C
"   188 Menippe (A878 MA)",2.761,0.1796,11.70,240.83,69.91,2.265,3.26,4.59,45418,0,3211,,,9.34,35.752,,0.242,11.98,,0.891,0.386,,S,S
"   189 Phthia (A878 RA)",2.451,0.0358,5.17,203.34,168.86,2.363,2.54,3.84,51840,0,3621,,,9.34,38.490,,0.170,22.346,,0.904,0.491,,Sa,S
"   190 Ismene (A878 SA)",3.991,0.1676,6.18,175.44,271.06,3.322,4.66,7.97,46452,0,3649,,,7.70,159,,0.066,6.521,,0.683,0.269,,X,P
"   191 Kolga (A878 SB)",2.895,0.0878,11.52,159.19,226.07,2.640,3.15,4.92,11137,0,3514,,,9.01,94.536,,0.046,17.604,,0.675,0.258,,Cb,XC:
"   192 Nausikaa (A879 DA)",2.402,0.2458,6.80,343.10,30.69,1.812,2.99,3.72,52026,0,2961,1,0,7.36,98.776,,0.327,13.625,,0.927,0.487,,Sl,S
"   193 Ambrosia (A879 DB)",2.6,0.2975,11.99,349.51,82.52,1.827,3.37,4.19,38862,0,3699,,,9.82,26.302,,0.343,6.581,,0.811,0.306,,Sk,
"   194 Prokne (A879 FA)",2.616,0.2377,18.51,159.26,163.11,1.994,3.24,4.23,52158,0,3336,,,7.82,161.667,,0.057,15.679,,0.724,0.341,,C,C
"   195 Eurykleia (A879 HA)",2.876,0.0430,6.97,6.97,117.88,2.753,3.00,4.88,50224,0,3679,,,9.17,93.109,,0.051,16.521,,0.704,0.387,,Ch,C
"   196 Philomela (A879 JA)",3.115,0.0154,7.26,72.31,202.45,3.067,3.16,5.5,52104,0,3866,,,6.57,144.626,,0.342,8.334,,0.852,0.451,,S,S
"   197 Arete (A879 KA)",2.738,0.1636,8.79,81.59,245.88,2.290,3.19,4.53,52091,0,3748,,,9.47,31.729,,0.373,6.6084,,0.908,0.496,,S,S
"   198 Ampella (A879 LA)",2.458,0.2277,9.32,268.24,89.22,1.899,3.02,3.85,45036,0,3197,,,8.49,54.323,,0.268,10.379,,0.885,0.421,,S,S
"   199 Byblis (A879 NA)",3.167,0.1819,15.46,88.48,180.06,2.591,3.74,5.64,52047,0,3187,,,8.52,76.129,,0.107,5.2201,,,,,X,
"   200 Dynamene (A879 OA)",2.738,0.1325,6.90,324.27,86.87,2.376,3.10,4.53,52032,0,4089,,,8.42,128.301,,0.053,37.394,,0.727,0.375,,Ch,C
"   201 Penelope (A879 PA)",2.68,0.1792,5.76,156.92,180.91,2.199,3.16,4.39,52016,0,3554,,,8.38,85.877,,0.040,3.7474,,0.720,0.233,,X,M
"   205 Martha (A879 TB)",2.776,0.0368,10.70,211.77,175.81,2.674,2.88,4.63,51880,0,3714,,,9.49,76.983,,0.061,14.911,,0.688,0.350,,Ch,C
"   206 Hersilia (A879 TC)",2.741,0.0392,3.78,145.04,302.77,2.634,2.85,4.54,51954,0,3814,,,8.77,113,,0.057,11.122,,0.690,0.345,,C,C
"   207 Hedda (A879 UA)",2.284,0.0297,3.80,29.15,192.62,2.216,2.35,3.45,50893,0,3823,,,10.12,57.880,,0.058,30.098,,0.722,0.389,,Ch,C
"   208 Lacrimosa (A879 UB)",2.895,0.0105,1.75,4.16,121.40,2.865,2.93,4.93,44147,0,4075,,,9.19,40.056,,0.206,14.085,,0.841,0.407,,Sk,S
"   209 Dido (A879 UC)",3.148,0.0556,7.17,0.64,249.74,2.973,3.32,5.59,51964,0,3587,,,8.26,179.008,,0.028,5.7366,,0.691,0.294,,Xc,C
