"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"  5610 Balster (2041 T-3)",2.804,0.0439,3.35,243.65,330.11,2.681,2.93,4.7,16167,0,2902,,,12.86,7.812,,0.241,,,,,,S,
"  5622 Percyjulian (1990 TL4)",2.803,0.1700,8.09,277.24,53.47,2.326,3.28,4.69,28394,0,3018,,,12.20,9.667,,0.328,3.6785,,,,,Sq,
"  5632 Ingelehmann (1993 GG)",2.746,0.0845,18.18,82.26,192.42,2.514,2.98,4.55,13743,0,2706,,,12.06,13.375,,0.230,,,,,,Xc,
"  5647 Sarojininaidu (1990 TZ)",2.425,0.2699,21.91,240.13,228.07,1.770,3.08,3.78,23275,0,2856,,,12.30,8.610,,0.297,6.144,,,,,S,
"  5678 DuBridge (1989 TS)",2.73,0.2743,34.08,48.01,297.19,1.981,3.48,4.51,24930,0,1157,,,14.00,5.945,,0.318,,,,,,C,
"  5685 Sanenobufukui (1990 XA)",2.805,0.0912,7.70,276.91,268.39,2.549,3.06,4.7,31725,0,3107,,,11.76,12.993,,0.240,3.388,,,,,S,
"  5690 (1992 EU)",2.798,0.3804,29.01,0.81,81.83,1.734,3.86,4.68,17187,0,1890,,,13.15,5.791,,0.041,5,,,,,B,
"  5840 Raybrown (1978 ON)",2.748,0.1028,3.35,25.41,343.26,2.466,3.03,4.56,16333,0,3088,,,12.61,9.730,,0.196,,,,,,Ld,
"  5892 Milesdavis (1981 YS1)",2.387,0.2993,4.59,153.65,291.00,1.672,3.10,3.69,14627,0,2937,,,13.71,3.710,,0.411,10.59,,,,,S,
"  5956 d'Alembert (1988 CF5)",2.711,0.2929,8.97,188.61,182.92,1.917,3.51,4.46,22705,0,2522,,,13.21,12.277,,0.097,,,,,,C,
"  5965 (1990 SV15)",2.737,0.0515,3.35,224.56,189.14,2.596,2.88,4.53,24490,0,2880,,,13.02,8.083,,0.205,,,,,,Sa,
"  6005 (1989 BD)",2.699,0.1512,7.64,25.22,108.74,2.291,3.11,4.43,11906,0,2507,,,13.17,9.179,,0.145,,,,,,C,
"  6071 Sakitama (1992 AS1)",2.709,0.1080,11.74,152.39,277.50,2.416,3.00,4.46,20829,0,3113,,,12.27,9.586,,0.306,4.437,,,,,S,
"  6077 Messner (1980 TM)",2.791,0.1123,4.30,23.60,322.60,2.478,3.10,4.66,24717,0,2949,,,12.62,8.315,,0.280,,,,,,Sq,
"  6078 Burt (1980 TC5)",2.803,0.1743,8.36,228.46,138.97,2.315,3.29,4.69,14941,0,2437,,,12.88,6.866,,0.179,,,,,,S,
"  6086 Vrchlicky (1987 VU)",2.72,0.1694,8.94,65.16,324.07,2.259,3.18,4.49,22177,0,3528,,,12.38,7.618,,0.401,2.76772,,,,,Sl,
"  6129 Demokritos (1989 RB2)",2.797,0.1669,6.52,294.05,295.35,2.330,3.26,4.68,26213,0,2805,,,13.01,17.096,,0.071,,,,,,Ch,
